Seed,Status,Total_Cost,New_Facilities
1,FEASIBLE,350939871.6,13
2,FEASIBLE,358337499.06,14
3,FEASIBLE,361797377.64,14
4,FEASIBLE,354547601.25,15
5,FEASIBLE,362092397.49,15
6,FEASIBLE,353046833.34,15
7,FEASIBLE,363077087.32,12
8,FEASIBLE,361364812.25,15
9,FEASIBLE,363690275.38,15
10,FEASIBLE,353740972.95,15
11,FEASIBLE,367075175.66,15
12,FEASIBLE,361062660.72,13
13,FEASIBLE,365356018.59,15
14,FEASIBLE,357947363.01,15
15,FEASIBLE,350227804.75,12
16,FEASIBLE,364439638.38,15
17,FEASIBLE,339863473.44,15
18,FEASIBLE,363125589.13,14
19,FEASIBLE,357768516.54,15
20,FEASIBLE,335925677.15,15
21,FEASIBLE,364041232.79,15
22,FEASIBLE,356860317.52,15
23,FEASIBLE,347578186.84,15
24,FEASIBLE,343532400.61,14
25,FEASIBLE,339182845.65,15
26,FEASIBLE,352009283.31,15
27,FEASIBLE,360853552.59,15
28,FEASIBLE,356540589.92,15
29,FEASIBLE,348762593.12,15
30,FEASIBLE,358561240.74,15
