Seed,Status,Total_Cost,New_Facilities
1,FEASIBLE,313389895.63,12
2,FEASIBLE,324754945.86,12
3,FEASIBLE,293378130.02,10
4,FEASIBLE,334685491.26,12
5,FEASIBLE,313199486.21,12
6,FEASIBLE,333224070.7,12
7,FEASIBLE,328076655.34,12
8,FEASIBLE,326159841.34,12
9,FEASIBLE,317152964.79,12
10,FEASIBLE,326835002.6,12
11,FEASIBLE,294796497.55,9
12,FEASIBLE,329919107.65,12
13,FEASIBLE,299057763.02,11
14,FEASIBLE,279056842.29,10
15,FEASIBLE,304710131.53,11
16,FEASIBLE,312198853.34,12
17,FEASIBLE,296553573.48,10
18,FEASIBLE,303123517.23,8
19,FEASIBLE,288872077.23,12
20,FEASIBLE,329244636.61,12
21,FEASIBLE,321634983.94,12
22,FEASIBLE,311708499.05,12
23,FEASIBLE,295510606.18,10
24,FEASIBLE,319775652.45,12
25,FEASIBLE,333682309.84,12
26,FEASIBLE,314057096.22,11
27,FEASIBLE,326451904.08,12
28,FEASIBLE,319132325.65,12
29,FEASIBLE,297697901.04,11
30,FEASIBLE,307483135.43,11
